week,channel,impressions,clicks,signups,trials_started,conversions,revenue,cac,ltv
2025-10-06,organic_search,48200,3860,312,187,42,88200,143,8400
2025-10-06,paid_search,92400,4620,198,89,18,37800,890,7200
2025-10-06,linkedin,31500,1890,156,94,31,65100,310,9100
2025-10-06,developer_community,12800,1920,288,201,54,113400,62,8800
2025-10-06,content_marketing,22100,1547,134,67,14,29400,195,7600
2025-10-13,organic_search,51300,4104,337,202,48,100800,138,8400
2025-10-13,paid_search,98700,4441,178,76,14,29400,980,7100
2025-10-13,linkedin,33200,1992,164,98,34,71400,298,9200
2025-10-13,partner_referrals,8400,672,87,61,19,39900,121,9400
2025-10-13,developer_community,14100,2115,317,222,59,123900,58,8900
2025-10-27,organic_search,54800,4384,358,215,51,107100,134,8500
2025-10-27,paid_search,101200,4554,169,71,12,25200,1070,6900
2025-10-27,product_hunt,4200,336,42,21,4,8400,410,7800
2025-10-27,partner_referrals,9600,768,99,69,22,46200,115,9500
2025-10-27,content_marketing,24800,1736,150,75,16,33600,188,7700
2025-11-03,organic_search,57200,4576,374,224,53,111300,131,8600
2025-11-03,product_hunt,87600,7884,892,446,67,140700,198,8200
2025-11-03,linkedin,36100,2166,179,107,38,79800,285,9300
2025-11-03,developer_community,16200,2430,365,256,68,142800,53,9000
2025-11-03,paid_search,104500,4702,161,64,10,21000,1180,6800
2025-11-10,product_hunt,34200,2736,274,137,21,44100,312,7900
2025-11-10,organic_search,59800,4784,391,235,56,117600,128,8600
2025-11-10,partner_referrals,11200,896,116,81,26,54600,110,9600
2025-11-10,events,6800,476,62,37,11,23100,520,8100
2025-11-24,organic_search,62400,4992,409,245,58,121800,126,8700
2025-11-24,paid_search,108300,4874,152,58,8,16800,1340,6600
2025-11-24,linkedin,38400,2304,190,114,41,86100,278,9400
2025-11-24,developer_community,18900,2835,425,298,79,165900,48,9100
2025-11-24,product_hunt,18400,1472,147,74,11,23100,378,7700
2025-11-24,content_marketing,27600,1932,167,84,18,37800,182,7800
2025-12-08,organic_search,65100,5208,426,256,61,128100,123,8700
2025-12-08,partner_referrals,13800,1104,143,100,32,67200,104,9700
2025-12-08,developer_community,20400,3060,459,321,85,178500,45,9200
2025-12-08,paid_search,112600,5067,148,54,7,14700,1450,6500
2025-12-08,linkedin,40200,2412,199,119,43,90300,272,9500
2025-12-08,events,14200,994,129,77,23,48300,390,8300
2025-12-22,organic_search,61800,4944,405,243,57,119700,127,8600
2025-12-22,paid_search,106100,4775,141,49,6,12600,1560,6300
2025-12-22,content_marketing,25400,1778,154,77,16,33600,186,7700
2025-12-22,partner_referrals,15100,1208,157,110,35,73500,99,9800
2025-12-22,developer_community,21800,3270,491,344,91,191100,42,9300
2026-01-06,organic_search,68400,5472,448,269,64,134400,120,8800
2026-01-06,paid_search,118200,5319,144,47,5,10500,1680,6200
2026-01-06,linkedin,42800,2568,212,127,46,96600,265,9600
2026-01-06,developer_community,23600,3540,531,372,99,207900,39,9400
2026-01-06,partner_referrals,16800,1344,175,123,39,81900,95,9900
2026-01-06,events,8200,574,75,45,13,27300,480,8200
2026-01-06,content_marketing,29100,2037,176,88,19,39900,178,7900
2026-01-20,organic_search,71200,5696,467,280,67,140700,117,8800
2026-01-20,paid_search,122400,5508,138,43,4,8400,1820,6100
2026-01-20,linkedin,44600,2676,221,133,48,100800,260,9700
2026-01-20,developer_community,25400,3810,572,400,106,222600,37,9500
2026-01-20,partner_referrals,18200,1456,189,132,42,88200,91,10000
2026-01-20,product_hunt,9800,784,78,39,6,12600,398,7600
